CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,10/18/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,01/25/1997 12:00:00 AM,FEMENINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE TELECOMUNICACIONES,SONSON,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,03/25/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,JARDIN,04/23/1994 12:00:00 AM,MASCULINO,SUROESTE,JARDIN,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,09/23/1994 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,JARDIN,10/06/1986 12:00:00 AM,MASCULINO,SUROESTE,JARDIN,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,04/01/1997 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,02/24/1998 12:00:00 AM,FEMENINO,SUROESTE,BETANIA,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,12/31/1996 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,03/19/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,09/08/1997 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,BETULIA,03/21/1998 12:00:00 AM,MASCULINO,SUROESTE,BETULIA,ESTRATO 1,NINGUNO,1,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,JARDIN,06/26/1996 12:00:00 AM,FEMENINO,SUROESTE,JARDIN,ESTRATO 2,NINGUNO,1,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,05/18/1997 12:00:00 AM,FEMENINO,SUROESTE,HISPANIA,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,10/19/1995 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,07/07/1997 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,SOSTENIMIENTO,ANTIOQUIA,CALDAS,05/18/1996 12:00:00 AM,MASCULINO,SUROESTE,HISPANIA,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,08/21/1994 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SANTAFE DE ANTIOQUIA,08/27/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
